FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,HST,AS,AST
2,0,Home,1,0,Home,12,9,16,7
1,1,Draw,0,1,Away,26,19,10,5
3,0,Home,2,0,Home,20,11,8,5
2,1,Home,1,0,Home,11,5,19,9
2,0,Home,0,0,Draw,13,8,11,7
1,1,Draw,1,0,Home,24,13,8,5
0,3,Away,0,2,Away,10,8,11,8
2,4,Away,1,1,Draw,14,6,15,8
0,0,Draw,0,0,Draw,26,15,10,4
1,0,Home,1,0,Home,11,7,11,6
0,1,Away,0,0,Draw,12,7,11,7
2,2,Draw,0,1,Away,17,10,15,12
1,1,Draw,0,0,Draw,17,10,6,4
0,0,Draw,0,0,Draw,19,9,8,5
4,0,Home,2,0,Home,11,9,5,1
2,1,Home,1,1,Draw,19,10,21,9
2,3,Away,0,1,Away,15,9,13,9
1,2,Away,0,1,Away,6,4,21,13
2,0,Home,1,0,Home,12,9,8,6
0,0,Draw,0,0,Draw,19,10,9,2
0,1,Away,0,0,Draw,21,8,12,5
0,3,Away,0,1,Away,8,4,5,3
1,1,Draw,0,0,Draw,17,9,15,5
1,0,Home,0,0,Draw,9,5,8,3
1,3,Away,1,2,Away,22,13,9,4
1,1,Draw,1,0,Home,29,11,13,12
1,1,Draw,0,1,Away,13,8,10,4
1,2,Away,0,0,Draw,9,3,11,5
4,2,Home,2,0,Home,14,9,12,7
2,1,Home,1,1,Draw,11,6,15,9
2,0,Home,0,0,Draw,10,6,5,2
1,0,Home,0,0,Draw,19,7,15,10
1,1,Draw,1,1,Draw,22,13,4,4
2,3,Away,2,1,Home,17,9,21,12
3,1,Home,0,0,Draw,16,8,19,12
2,0,Home,1,0,Home,10,5,14,8
1,0,Home,1,0,Home,9,5,8,3
2,1,Home,1,1,Draw,21,13,6,5
1,1,Draw,0,0,Draw,10,4,14,7
1,1,Draw,0,1,Away,16,8,12,6
1,1,Draw,0,0,Draw,17,11,12,9
2,0,Home,0,0,Draw,23,12,10,5
1,1,Draw,0,0,Draw,21,10,12,5
2,1,Home,0,1,Away,13,7,17,12
1,1,Draw,0,1,Away,12,5,18,12
2,2,Draw,1,0,Home,13,9,17,8
2,1,Home,0,1,Away,12,8,21,11
3,1,Home,0,1,Away,10,5,11,8
2,2,Draw,1,0,Home,14,8,9,8
1,1,Draw,1,0,Home,11,5,11,7
3,0,Home,3,0,Home,12,6,7,4
1,0,Home,1,0,Home,7,1,17,10
2,2,Draw,2,1,Home,17,11,18,9
3,1,Home,1,1,Draw,21,12,12,6
1,3,Away,1,2,Away,23,10,10,6
4,2,Home,2,0,Home,16,10,12,5
0,6,Away,0,1,Away,12,4,27,16
1,2,Away,1,1,Draw,9,8,10,7
1,1,Draw,1,0,Home,14,8,8,3
3,1,Home,2,1,Home,11,8,11,6
3,0,Home,1,0,Home,24,16,4,2
2,3,Away,1,1,Draw,18,8,9,7
1,1,Draw,1,1,Draw,23,11,7,6
1,1,Draw,1,1,Draw,18,7,16,6
1,2,Away,1,0,Home,16,12,15,6
1,0,Home,0,0,Draw,16,5,14,6
2,1,Home,0,0,Draw,18,13,7,4
2,1,Home,2,0,Home,8,4,4,2
3,1,Home,2,1,Home,15,8,13,7
1,1,Draw,1,1,Draw,13,7,11,5
2,2,Draw,1,1,Draw,17,8,11,7
1,2,Away,1,0,Home,13,2,14,9
1,6,Away,0,3,Away,15,9,16,12
2,0,Home,2,0,Home,19,12,12,8
0,1,Away,0,1,Away,20,13,17,8
2,0,Home,0,0,Draw,19,7,11,4
0,0,Draw,0,0,Draw,19,11,12,4
0,2,Away,0,1,Away,14,8,12,8
1,1,Draw,0,0,Draw,14,9,10,5
5,1,Home,2,0,Home,19,13,9,3
3,0,Home,1,0,Home,18,10,16,9
0,2,Away,0,1,Away,8,4,8,5
2,4,Away,1,2,Away,15,7,16,9
1,1,Draw,0,0,Draw,16,11,7,5
2,1,Home,1,0,Home,6,6,16,10
1,1,Draw,1,1,Draw,20,10,4,3
1,1,Draw,0,0,Draw,14,9,10,6
1,0,Home,1,0,Home,11,5,18,12
1,0,Home,0,0,Draw,19,12,5,2
2,2,Draw,2,1,Home,21,12,10,5
0,0,Draw,0,0,Draw,24,12,5,2
1,2,Away,1,1,Draw,9,8,5,4
1,2,Away,0,1,Away,9,4,10,6
2,0,Home,0,0,Draw,13,7,18,8
0,1,Away,0,1,Away,15,6,6,2
2,2,Draw,1,1,Draw,16,8,8,5
1,3,Away,0,2,Away,16,8,13,5
0,1,Away,0,1,Away,16,7,20,9
0,2,Away,0,2,Away,16,4,17,6
1,3,Away,1,1,Draw,16,13,13,6
0,3,Away,0,1,Away,14,9,9,6
1,1,Draw,0,0,Draw,20,12,8,6
3,3,Draw,1,2,Away,16,10,14,9
2,3,Away,0,1,Away,14,9,17,9
4,0,Home,3,0,Home,12,7,10,4
0,0,Draw,0,0,Draw,14,5,14,9
1,1,Draw,0,1,Away,11,6,30,14
1,2,Away,1,0,Home,11,6,16,13
4,3,Home,3,2,Home,20,15,11,9
2,2,Draw,1,0,Home,12,4,19,12
2,1,Home,2,1,Home,17,9,13,7
2,4,Away,2,2,Draw,18,8,12,10
1,2,Away,1,2,Away,21,13,11,6
0,0,Draw,0,0,Draw,12,7,14,9
3,2,Home,1,1,Draw,16,7,13,5
0,0,Draw,0,0,Draw,18,11,7,3
0,1,Away,0,0,Draw,14,5,8,7
2,1,Home,2,0,Home,22,15,12,6
1,1,Draw,1,0,Home,19,6,12,8
1,2,Away,1,0,Home,8,4,16,8
1,0,Home,0,0,Draw,21,12,8,3
2,1,Home,1,1,Draw,15,9,13,8
3,0,Home,2,0,Home,24,14,3,2
1,1,Draw,0,1,Away,10,6,9,5
3,1,Home,1,0,Home,22,16,9,8
1,0,Home,1,0,Home,17,10,11,4
0,0,Draw,0,0,Draw,10,5,16,9
1,1,Draw,1,1,Draw,20,11,7,4
0,0,Draw,0,0,Draw,15,8,5,1
2,1,Home,1,1,Draw,10,9,13,7
0,1,Away,0,1,Away,4,2,9,5
1,0,Home,0,0,Draw,12,6,6,2
3,1,Home,3,1,Home,22,13,15,9
2,3,Away,1,2,Away,20,11,11,7
0,0,Draw,0,0,Draw,14,8,9,8
2,1,Home,1,1,Draw,21,12,10,5
2,1,Home,1,0,Home,10,8,13,8
2,6,Away,1,3,Away,17,10,12,9
0,0,Draw,0,0,Draw,10,6,11,2
1,1,Draw,0,0,Draw,18,7,8,3
1,1,Draw,1,0,Home,9,7,14,6
1,0,Home,0,0,Draw,18,7,13,8
3,1,Home,2,0,Home,20,17,17,10
1,2,Away,0,0,Draw,11,6,13,7
2,0,Home,1,0,Home,22,11,10,7
3,3,Draw,0,1,Away,16,12,27,14
0,1,Away,0,0,Draw,9,5,9,4
0,0,Draw,0,0,Draw,8,2,12,9
